variable,descripcion,tipo,fuente,tratamiento_privacidad
codigo_participante,Código anónimo asignado al participante.,Texto,Cuestionario SICST,Sin nombres ni marcas temporales
perfil,Perfil declarado dentro del estudio.,Categoría,Cuestionario SICST,Sin nombres ni marcas temporales
q01,1. Acepta participar voluntariamente en este cuestionario con fines academicos?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q02,4. Ha recibido usted o la persona que cuida terapia fisica o rehabilitacion?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q03,5. Le han enviado ejercicios para realizar en casa?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q04,6. Que tan dificil le resulta recordar como hacer los ejercicios o cuantas repeticiones realizar?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q05,"7. Que tan importante seria recibir indicaciones claras con imagenes, videos o pasos sencillos?","Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q06,8. Que tan importante seria recibir recordatorios para cumplir los ejercicios?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q07,9. Cual ha sido o seria la dificultad principal al realizar ejercicios en casa?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q08,10. Que tan importante seria registrar dolor despues de realizar ejercicios?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q09,11. Que tan importante seria registrar cansancio o fatiga despues de realizar ejercicios?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q10,12. Le gustaria ver el avance de la recuperacion de forma sencilla?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q11,13. Aceptaria el uso de camara para revisar ejercicios si primero se solicita autorizacion?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q12,14. Que informacion considera mas privada y debe protegerse?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q13,15. Quien deberia poder ver el avance terapeutico?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q14,4. Que informacion considera necesaria antes de iniciar una terapia fisica?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q15,5. Que informacion terapeutica considera importante registrar durante el tratamiento?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q16,6. Cual dificultad observa con mayor frecuencia cuando el paciente realiza ejercicios en casa?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q17,7. Que aspectos toma en cuenta para saber si un ejercicio fue realizado correctamente?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q18,8. Que tan importante considera mantener un historial organizado del tratamiento y evolucion del paciente?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q19,9. Que indicadores utiliza o considera utiles para evaluar el progreso terapeutico?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q20,10. Que situaciones considera importantes de detectar o atender durante el seguimiento terapeutico?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q21,11. Que informacion deberia contener un reporte de avance terapeutico?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q22,"12. Que tan importante considera solicitar autorizacion antes de usar camara, imagenes o datos personales del paciente?","Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
q23,13. Desea agregar alguna recomendacion para mejorar el seguimiento de pacientes en terapia fisica?,"Texto o valor de escala, según la pregunta.",Cuestionario SICST,Sin nombres ni marcas temporales
