q01,codigo_participante,perfil,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23
"Si, acepto participar.",EV2-ENT-01,Fisioterapeuta,,,,,,,,,,,,,Datos personales basicos;Motivo de terapia;Antecedentes relevantes;Nivel de dolor inicial;Movilidad o limitacion fisica;Tratamientos previos,Ejercicios asignados;Series y repeticiones;Dolor reportado;Fatiga o cansancio;Cumplimiento de la rutina;Observaciones de evolucion;Errores frecuentes;Cambios en la rutina,No cumple la rutina,Postura;Dolor durante el ejercicio,5.0,Disminucion del dolor;Mejora de movilidad;Cumplimiento de ejercicios;Reduccion de fatiga,Dolor elevado;Fatiga excesiva;Ejecucion incorrecta del ejercicio;Riesgo de lesion,Rutinas asignadas;Dolor registrado;Observaciones del fisioterapeuta,5.0,Que sea de fácil acceso para todas las edades
"Si, acepto participar.",EV2-PAC-05,Paciente o ex paciente de terapia fisica,Si,Si,3.0,5.0,5.0,No saber si realiza bien el ejercicio,5.0,4.0,Si,"Si, pero solo con autorizacion previa",Datos personales;Imagenes o videos;Historial de terapia;Datos de contacto,"El paciente, el fisioterapeuta y un familiar autorizado",,,,,,,,,,
"Si, acepto participar.",EV2-PAC-06,Paciente o ex paciente de terapia fisica,No,Si,5.0,5.0,5.0,Olvidar los ejercicios,5.0,5.0,Si,"Si, pero solo con autorizacion previa",Datos personales;Imagenes o videos;Datos de contacto,"El paciente, el fisioterapeuta y un familiar autorizado",,,,,,,,,,
"Si, acepto participar.",EV2-PAC-07,Paciente o ex paciente de terapia fisica,Si,Si,3.0,4.0,3.0,Olvidar los ejercicios,3.0,3.0,Si,Tal vez,Datos personales,El paciente y el fisioterapeuta,,,,,,,,,,
"Si, acepto participar.",EV2-PAC-08,Paciente o ex paciente de terapia fisica,Si,A veces,3.0,3.0,3.0,No saber si realiza bien el ejercicio,3.0,3.0,Tal vez,Tal vez,Datos personales,El paciente y el fisioterapeuta,,,,,,,,,,
"Si, acepto participar.",EV2-ENT-01,Fisioterapeuta,,,,,,,,,,,,,Motivo de terapia;Antecedentes relevantes;Nivel de dolor inicial;Movilidad o limitacion fisica;Tratamientos previos,Ejercicios asignados;Series y repeticiones;Dolor reportado;Fatiga o cansancio;Cumplimiento de la rutina;Errores frecuentes,No cumple la rutina,Postura;Numero de repeticiones;Dolor durante el ejercicio;Cumplimiento de indicaciones,5.0,Disminucion del dolor;Mejora de movilidad;Reduccion de fatiga;Mejora de postura o tecnica;Observaciones del paciente,Dolor elevado;Incumplimiento de rutina;Ejecucion incorrecta del ejercicio;Falta de progreso,Rutinas asignadas;Rutinas cumplidas;Dolor registrado;Observaciones del fisioterapeuta;Alertas o incidencias,4.0,Que sea de fácil acceso para todas las edades 
"Si, acepto participar.",EV2-PAC-10,Paciente o ex paciente de terapia fisica,Si,Si,4.0,5.0,5.0,Falta de ayuda o supervision,5.0,5.0,Si,"Si, pero solo con autorizacion previa",Datos personales,"El paciente, el fisioterapeuta y un familiar autorizado",,,,,,,,,,
"Si, acepto participar.",EVA2-PAC-12,Paciente o ex paciente de terapia fisica,Si,Si,4.0,5.0,5.0,Falta de ayuda o supervision,5.0,5.0,Si,"Si, pero solo con autorizacion previa",Datos personales,"El paciente, el fisioterapeuta y un familiar autorizado",,,,,,,,,,
"Si, acepto participar.",EV2-PAC-11,Fisioterapeuta,,,,,,,,,,,,,Nivel de dolor inicial,Ejercicios asignados,No tiene supervision,Postura;Rango de movimiento;Tiempo de ejecucion,5.0,Disminucion del dolor;Mejora de movilidad;Mejora de postura o tecnica;Observaciones del paciente,Dolor elevado;Fatiga excesiva;Ejecucion incorrecta del ejercicio;Riesgo de lesion,Rutinas cumplidas;Evolucion del paciente,5.0,No
"Si, acepto participar.",EV2-PAC-14,Paciente o ex paciente de terapia fisica,Si,A veces,4.0,4.0,5.0,No saber si realiza bien el ejercicio,4.0,5.0,Si,Si,Datos de contacto,Solo el paciente,,,,,,,,,,
"Si, acepto participar.",EV2-PAC-13,Paciente o ex paciente de terapia fisica,Si,Si,5.0,5.0,5.0,Olvidar la cantidad de repeticiones,5.0,5.0,Si,Si,Imagenes o videos,"El paciente, el fisioterapeuta y un familiar autorizado",,,,,,,,,,
"Si, acepto participar.",EV2-ENT-02,Paciente o ex paciente de terapia fisica,Si,Si,3.0,5.0,4.0,Olvidar los ejercicios,4.0,4.0,Si,"Si, pero solo con autorizacion previa",Datos personales;Imagenes o videos;Datos de contacto,El paciente y el fisioterapeuta,,,,,,,,,,
"Si, acepto participar.",EV2-PAC-03,Paciente o ex paciente de terapia fisica,Si,Si,2.0,5.0,5.0,No saber si realiza bien el ejercicio,3.0,3.0,Si,Si,Datos personales;Reportes de avance;Datos de contacto,"El paciente, el fisioterapeuta y un familiar autorizado",,,,,,,,,,
"Si, acepto participar.",EV2-PAC-04,Paciente o ex paciente de terapia fisica,Si,Si,3.0,3.0,4.0,Falta de ayuda o supervision,5.0,5.0,Si,"Si, pero solo con autorizacion previa",Imagenes o videos;Dolor o cansancio;Datos de contacto,El paciente y el fisioterapeuta,,,,,,,,,,
"Si, acepto participar.",EV2-PAC-01,Paciente o ex paciente de terapia fisica,Si,A veces,3.0,3.0,3.0,Falta de ayuda o supervision,3.0,4.0,Si,"Si, pero solo con autorizacion previa",Historial de terapia;Dolor o cansancio;Datos de contacto,"El paciente, el fisioterapeuta y un familiar autorizado",,,,,,,,,,
"Si, acepto participar.",EV2-PAC-15,Familiar o cuidador,Si,A veces,3.0,5.0,4.0,Dolor,5.0,3.0,Tal vez,"Si, pero solo con autorizacion previa",Imagenes o videos;Reportes de avance,Solo el paciente,,,,,,,,,,
"Si, acepto participar.",EV2-PAC-16,Paciente o ex paciente de terapia fisica,Si,Si,5.0,5.0,5.0,Olvidar los ejercicios,2.0,3.0,Si,Tal vez,Datos personales;Imagenes o videos;Datos de contacto,El paciente y el fisioterapeuta,,,,,,,,,,
"Si, acepto participar.",EV2-PAC-17,Paciente o ex paciente de terapia fisica,Actualmente esta en terapia,Si,5.0,5.0,5.0,No saber si realiza bien el ejercicio,5.0,5.0,Si,"Si, pero solo con autorizacion previa",Datos personales;Imagenes o videos;Historial de terapia;Reportes de avance,"El paciente, el fisioterapeuta y un familiar autorizado",,,,,,,,,,
"Si, acepto participar.",EV2-PAC-18,Familiar o cuidador,Si,A veces,2.0,2.0,5.0,Falta de ayuda o supervision,3.0,4.0,Si,No estoy seguro/a,Datos personales;Historial de terapia;Datos de contacto,"El paciente, el fisioterapeuta y un familiar autorizado",,,,,,,,,,
"Si, acepto participar.",EV2-PAC-19,Paciente o ex paciente de terapia fisica,Si,No,2.0,4.0,5.0,No saber si realiza bien el ejercicio,5.0,3.0,Si,No,Datos personales;Imagenes o videos,Solo el paciente,,,,,,,,,,
"Si, acepto participar.",EV2-PAC-20,Familiar o cuidador,Si,A veces,5.0,4.0,5.0,Olvidar los ejercicios,3.0,5.0,Si,Si,Datos personales;Historial de terapia;Dolor o cansancio,"El paciente, el fisioterapeuta y un familiar autorizado",,,,,,,,,,
"Si, acepto participar.",EV2-PAC-21,Familiar o cuidador,Si,Si,3.0,4.0,3.0,Olvidar los ejercicios,5.0,4.0,Si,"Si, pero solo con autorizacion previa",Datos personales;Imagenes o videos;Historial de terapia;Dolor o cansancio;Reportes de avance,Solo el paciente,,,,,,,,,,
"Si, acepto participar.",EV2-PAC-22,Familiar o cuidador,Si,A veces,5.0,4.0,4.0,Olvidar la cantidad de repeticiones,3.0,4.0,Si,Si,Datos personales;Historial de terapia;Dolor o cansancio;Reportes de avance,"El paciente, el fisioterapeuta y un familiar autorizado",,,,,,,,,,
"Si, acepto participar.",EV2-PAC-23,Paciente o ex paciente de terapia fisica,Si,Si,3.0,3.0,4.0,Cansancio o fatiga,3.0,4.0,Si,"Si, pero solo con autorizacion previa",Historial de terapia;Datos de contacto,El paciente y el fisioterapeuta,,,,,,,,,,
"Si, acepto participar.",EV2-PAC-24,Familiar o cuidador,Si,A veces,4.0,5.0,4.0,Olvidar la cantidad de repeticiones,4.0,4.0,Si,"Si, pero solo con autorizacion previa",Datos personales;Datos de contacto,"El paciente, el fisioterapeuta y un familiar autorizado",,,,,,,,,,
"Si, acepto participar.",EV2-PAC-25,Paciente o ex paciente de terapia fisica,Si,Si,3.0,3.0,4.0,Falta de ayuda o supervision,5.0,4.0,Si,"Si, pero solo con autorizacion previa",Datos personales;Imagenes o videos;Datos de contacto,"El paciente, el fisioterapeuta y un familiar autorizado",,,,,,,,,,
"Si, acepto participar.",EV2-PAC-26,Paciente o ex paciente de terapia fisica,Si,Si,5.0,4.0,5.0,No saber si realiza bien el ejercicio,4.0,4.0,Tal vez,"Si, pero solo con autorizacion previa",Datos personales;Imagenes o videos,El paciente y el fisioterapeuta,,,,,,,,,,
"Si, acepto participar.",EV2-PAC-28,Familiar o cuidador,Si,Si,4.0,4.0,3.0,Falta de ayuda o supervision,4.0,4.0,Si,"Si, pero solo con autorizacion previa",Datos personales;Historial de terapia;Datos de contacto,"El paciente, el fisioterapeuta y un familiar autorizado",,,,,,,,,,
"Si, acepto participar.",EV2-PAC-29,Paciente o ex paciente de terapia fisica,Si,Si,4.0,4.0,4.0,Olvidar la cantidad de repeticiones,5.0,3.0,Si,"Si, pero solo con autorizacion previa",Datos de contacto,"El paciente, el fisioterapeuta y un familiar autorizado",,,,,,,,,,
"Si, acepto participar.",EV2-PAC-30,Paciente o ex paciente de terapia fisica,Si,Si,5.0,5.0,5.0,Olvidar la cantidad de repeticiones,5.0,5.0,Si,Si,Datos personales;Imagenes o videos;Historial de terapia;Reportes de avance;Datos de contacto,"El paciente, el fisioterapeuta y un familiar autorizado",,,,,,,,,,
"Si, acepto participar.",EV2-PAC-27,Familiar o cuidador,Si,Si,4.0,5.0,4.0,No saber si realiza bien el ejercicio,4.0,5.0,Tal vez,"Si, pero solo con autorizacion previa",Imagenes o videos;Datos de contacto,"El paciente, el fisioterapeuta y un familiar autorizado",,,,,,,,,,
